Date,Open,High,Low,Close
04/21/2023,"2,016.10","2,016.80","1,982.30","1,990.50"
04/20/2023,"2,007.70","2,024.20","2,002.20","2,019.10"
04/19/2023,"2,017.90","2,020.30","1,980.90","2,007.30"
04/18/2023,"2,007.90","2,024.60","2,003.30","2,019.70"
04/17/2023,"2,014.10","2,028.00","1,993.40","2,007.00"
04/14/2023,"2,054.70","2,061.60","2,006.00","2,015.80"
04/13/2023,"2,029.50","2,063.40","2,028.30","2,055.30"
04/12/2023,"2,019.10","2,043.90","2,015.70","2,024.90"
04/11/2023,"2,007.00","2,022.50","2,003.70","2,019.00"
04/10/2023,"2,008.60","2,021.50","1,996.50","2,003.80"
04/06/2023,"2,037.10","2,037.70","2,016.50","2,026.40"
04/05/2023,"2,038.20","2,049.20","2,026.10","2,035.60"
04/04/2023,"2,001.30","2,043.40","1,994.00","2,038.20"
04/03/2023,"1,990.00","2,008.00","1,965.90","2,000.40"
03/31/2023,"1,998.00","2,005.50","1,984.20","1,986.20"
03/30/2023,"1,982.70","2,002.40","1,971.60","1,997.70"
03/29/2023,"1,975.40","1,976.00","1,959.50","1,966.90"
03/28/2023,"1,957.80","1,977.10","1,949.90","1,973.50"
03/27/2023,"1,982.60","1,984.00","1,945.00","1,953.80"
03/24/2023,"1,996.10","2,006.50","1,977.70","1,983.80"
03/23/2023,"1,974.00","2,006.10","1,967.30","1,995.90"
03/22/2023,"1,943.50","1,982.30","1,936.50","1,949.60"
03/21/2023,"1,983.10","1,988.70","1,938.60","1,941.10"
03/20/2023,"1,989.70","2,014.90","1,970.00","1,982.80"
03/17/2023,"1,925.90","1,993.70","1,922.30","1,973.50"
03/16/2023,"1,922.80","1,938.00","1,911.50","1,923.00"
03/15/2023,"1,908.20","1,942.50","1,889.50","1,931.30"
03/14/2023,"1,919.40","1,919.40","1,899.80","1,910.90"
03/13/2023,"1,877.10","1,919.50","1,875.70","1,916.50"
03/10/2023,"1,835.10","1,874.30","1,830.00","1,867.20"
03/09/2023,"1,818.00","1,839.40","1,815.40","1,834.60"
03/08/2023,"1,818.00","1,828.70","1,813.40","1,818.60"
03/07/2023,"1,852.60","1,856.90","1,817.10","1,820.00"
03/06/2023,"1,861.00","1,864.30","1,850.60","1,854.60"
03/03/2023,"1,842.10","1,864.40","1,842.00","1,854.60"
03/02/2023,"1,843.80","1,845.30","1,835.90","1,840.50"
03/01/2023,"1,834.00","1,852.50","1,829.60","1,845.40"
02/28/2023,"1,823.90","1,838.60","1,810.80","1,836.70"
02/27/2023,"1,818.00","1,827.30","1,812.00","1,824.90"
02/24/2023,"1,829.70","1,835.10","1,815.50","1,817.10"
02/23/2023,"1,834.70","1,841.20","1,824.80","1,826.80"
02/22/2023,"1,843.70","1,855.00","1,831.90","1,841.50"
02/21/2023,"1,850.80","1,853.50","1,839.00","1,842.50"
02/17/2023,"1,845.70","1,853.10","1,827.70","1,850.20"
02/16/2023,"1,846.50","1,854.90","1,836.60","1,851.80"
02/15/2023,"1,865.10","1,870.90","1,839.30","1,845.30"
02/14/2023,"1,864.10","1,881.60","1,852.50","1,865.40"
02/13/2023,"1,876.70","1,877.20","1,860.80","1,863.50"
02/10/2023,"1,873.50","1,883.50","1,863.50","1,874.50"
02/09/2023,"1,888.30","1,902.30","1,870.20","1,878.50"
02/08/2023,"1,885.10","1,898.90","1,881.40","1,890.70"
02/07/2023,"1,880.30","1,897.20","1,877.50","1,884.80"
02/06/2023,"1,878.00","1,894.00","1,873.20","1,879.50"
02/03/2023,"1,926.30","1,932.40","1,874.50","1,876.60"
02/02/2023,"1,967.10","1,975.20","1,925.60","1,930.80"
02/01/2023,"1,944.00","1,970.80","1,936.10","1,942.80"
01/31/2023,"1,938.60","1,946.90","1,915.50","1,945.30"
01/30/2023,"1,928.30","1,933.60","1,920.30","1,922.90"
01/27/2023,"1,929.30","1,935.40","1,916.50","1,929.40"
01/26/2023,"1,948.00","1,949.80","1,918.40","1,930.00"
01/25/2023,"1,938.70","1,949.50","1,920.60","1,942.60"
01/24/2023,"1,932.00","1,943.80","1,918.20","1,935.40"
01/23/2023,"1,928.40","1,936.70","1,912.50","1,928.60"
01/20/2023,"1,933.70","1,939.00","1,922.00","1,928.20"
01/19/2023,"1,907.00","1,936.90","1,902.00","1,923.90"
01/18/2023,"1,911.10","1,929.80","1,898.60","1,907.00"
01/17/2023,"1,918.40","1,921.80","1,906.20","1,909.90"
01/13/2023,"1,898.80","1,925.30","1,895.10","1,921.70"
01/12/2023,"1,879.70","1,906.50","1,872.40","1,898.80"
01/11/2023,"1,881.30","1,890.90","1,870.90","1,878.90"
01/10/2023,"1,875.70","1,885.20","1,872.00","1,876.50"
01/09/2023,"1,872.80","1,886.40","1,869.30","1,877.80"
01/06/2023,"1,835.90","1,875.20","1,835.20","1,869.70"
01/05/2023,"1,861.20","1,864.30","1,829.90","1,840.60"
01/04/2023,"1,845.20","1,871.30","1,842.00","1,859.00"
01/03/2023,"1,831.80","1,856.60","1,831.30","1,846.10"
12/30/2022,"1,821.80","1,832.40","1,819.80","1,826.20"
12/29/2022,"1,812.30","1,827.30","1,811.20","1,826.00"
12/28/2022,"1,822.40","1,822.80","1,804.20","1,815.80"
12/27/2022,"1,808.20","1,841.90","1,808.00","1,823.10"
12/23/2022,"1,801.00","1,812.20","1,798.90","1,804.20"
12/22/2022,"1,823.80","1,829.30","1,792.70","1,795.30"
12/21/2022,"1,827.90","1,833.80","1,821.30","1,825.40"
12/20/2022,"1,796.80","1,832.40","1,793.70","1,825.40"
12/19/2022,"1,801.60","1,808.60","1,793.20","1,797.70"
12/16/2022,"1,786.90","1,804.20","1,783.90","1,800.20"
12/15/2022,"1,818.70","1,819.70","1,782.00","1,787.80"
12/14/2022,"1,822.60","1,825.40","1,806.20","1,818.70"
12/13/2022,"1,792.30","1,836.90","1,791.80","1,825.50"
12/12/2022,"1,808.00","1,809.30","1,789.00","1,792.30"
12/09/2022,"1,801.90","1,819.00","1,800.10","1,810.70"
12/08/2022,"1,799.50","1,806.90","1,793.20","1,801.50"
12/07/2022,"1,783.30","1,803.20","1,780.50","1,798.00"
12/06/2022,"1,780.80","1,793.20","1,779.10","1,782.40"
12/05/2022,"1,810.50","1,822.90","1,778.10","1,781.30"
12/02/2022,"1,817.00","1,818.70","1,791.80","1,809.60"
12/01/2022,"1,783.10","1,818.40","1,782.90","1,815.20"
11/30/2022,"1,763.40","1,784.20","1,758.20","1,759.90"
11/29/2022,"1,748.40","1,758.20","1,748.40","1,748.40"
11/28/2022,"1,739.50","1,745.10","1,737.90","1,740.30"
11/25/2022,"1,754.00","1,754.00","1,745.90","1,754.00"
11/23/2022,"1,751.00","1,756.30","1,750.00","1,745.60"
11/22/2022,"1,740.80","1,743.60","1,739.40","1,739.90"
11/21/2022,"1,739.70","1,746.30","1,738.90","1,739.60"
11/18/2022,"1,754.40","1,769.90","1,749.20","1,754.40"
11/17/2022,"1,763.10","1,766.70","1,761.70","1,763.00"
